sim,period,inter,direc,cycle,type,fuel
0,morning1,Dunbar,SB,1,21,182.90514240601738
0,morning1,Dunbar,SB,1,61,1.9436853195002413
0,morning1,Dunbar,SB,2,21,167.40771561225753
0,morning1,Dunbar,SB,2,61,26.82991976842935
0,morning1,Dunbar,SB,2,42,24.536690620211893
0,morning1,Dunbar,SB,3,21,330.08393682508705
0,morning1,Dunbar,SB,4,21,419.0668871783341
0,morning1,Dunbar,SB,4,61,48.66456949214253
0,morning1,Dunbar,SB,4,42,18.31365324689821
0,morning1,Dunbar,SB,5,21,232.37103062298453
0,morning1,Dunbar,SB,6,21,286.7454053655863
0,morning1,Dunbar,SB,6,61,26.832918659423516
0,morning1,Dunbar,SB,6,52,22.9844919059466
0,morning1,Dunbar,SB,7,52,3.1452558606828873
0,morning1,Dunbar,SB,7,21,304.4058606539097
0,morning1,Dunbar,SB,8,21,198.0278122434975
0,morning1,Dunbar,SB,8,42,26.21427253362627
0,morning1,Dunbar,SB,9,61,36.99785229533149
0,morning1,Dunbar,SB,9,21,567.057906964919
0,morning1,Dunbar,SB,9,52,51.97830738431093
0,morning1,Dunbar,SB,10,21,159.92584051183206
0,morning1,Dunbar,SB,11,21,187.6936886867632
0,morning1,Dunbar,SB,11,52,22.335638950955538
0,morning1,Dunbar,SB,12,21,100.02197587879166
0,morning1,Dunbar,SB,13,21,532.706712620188
0,morning1,Dunbar,SB,14,21,363.7569041606064
0,morning1,Dunbar,SB,14,52,1.433801453296519
0,morning1,Dunbar,SB,14,61,23.79563940341202
0,morning1,Dunbar,SB,15,21,361.15386295111875
0,morning1,Dunbar,SB,15,42,18.589217665570768
0,morning1,Dunbar,SB,16,21,163.35673574263316
0,morning1,Dunbar,SB,16,42,2.5385761613775886
0,morning1,Dunbar,SB,16,52,19.07669109468302
0,morning1,Dunbar,SB,16,61,1.7639054563435257
0,morning1,Dunbar,SB,17,21,163.15225488335284
0,morning1,Dunbar,SB,17,61,6.236600216991259
0,morning1,Dunbar,SB,18,21,175.59399057124693
0,morning1,Dunbar,SB,18,52,5.950640357459268
0,morning1,Dunbar,SB,19,21,219.59137953231064
0,morning1,Dunbar,SB,19,61,21.197889143081124
0,morning1,Dunbar,SB,19,52,3.8689288424542823
0,morning1,Dunbar,SB,20,61,9.923536308680783
0,morning1,Dunbar,SB,20,21,370.396907585677
0,morning1,Dunbar,SB,20,52,3.4763476054913367
0,morning1,Dunbar,SB,21,21,144.43567335076932
0,morning1,Dunbar,SB,21,61,19.866580089175528
0,morning1,Dunbar,SB,22,21,411.6498718783216
0,morning1,Dunbar,SB,22,61,52.754832632485304
0,morning1,Dunbar,SB,22,52,25.360327649925182
0,morning1,Dunbar,SB,22,42,21.75408608592391
0,morning1,Dunbar,SB,23,21,142.6809522481144
0,morning1,Dunbar,SB,23,42,4.1616576882309415
0,morning1,Dunbar,SB,23,61,24.41801905586648
0,morning1,Dunbar,SB,24,21,131.39706089975442
0,morning1,Dunbar,SB,24,61,46.58911517899462
0,morning1,Dunbar,SB,25,21,194.39624524169002
0,morning1,Dunbar,SB,25,61,4.419612261955488
0,morning1,Dunbar,SB,25,52,24.39244880387194
0,morning1,Dunbar,SB,26,21,275.7941912949012
0,morning1,Dunbar,SB,26,61,18.710138600313293
0,morning1,Dunbar,SB,27,21,160.84696978731992
0,morning1,Dunbar,SB,28,21,378.7172662086685
0,morning1,Dunbar,SB,28,52,24.262084900074026
0,morning1,Dunbar,SB,28,61,25.87126067912204
0,morning1,Dunbar,SB,29,21,187.13873413734743
0,morning1,Dunbar,SB,29,61,5.824793343898588
0,morning1,Dunbar,SB,29,42,16.619708895768436
0,morning1,Dunbar,SB,30,21,211.07906538924382
