period,inter,direc,cycle,type,pollutant,emi
morning1,Dunbar,SB,36,61,Total Energy,0.0
morning1,Dunbar,SB,36,61,Atmospheric CO2,0.0
morning1,Dunbar,SB,36,61,Nitrous Oxide,0.0
morning1,Dunbar,SB,36,61,Methane,0.0
morning1,Dunbar,SB,36,61,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,36,52,Total Energy,0.0
morning1,Dunbar,SB,36,52,Atmospheric CO2,0.0
morning1,Dunbar,SB,36,52,Nitrous Oxide,0.0
morning1,Dunbar,SB,36,52,Methane,0.0
morning1,Dunbar,SB,36,52,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,36,42,Total Energy,0.0
morning1,Dunbar,SB,36,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,36,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,36,42,Methane,0.0
morning1,Dunbar,SB,36,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,36,21,Total Energy,2680451788.832
morning1,Dunbar,SB,36,21,Atmospheric CO2,192673.5776225
morning1,Dunbar,SB,36,21,Nitrous Oxide,0.7511521026311
morning1,Dunbar,SB,36,21,Methane,4.1797111280904
morning1,Dunbar,SB,36,21,Total Gaseous Hydrocarbons,34.843352983
morning1,Dunbar,SB,35,61,Total Energy,781720755.9475
morning1,Dunbar,SB,35,61,Atmospheric CO2,57582.38353902098
morning1,Dunbar,SB,35,61,Nitrous Oxide,0.04091697472500002
morning1,Dunbar,SB,35,61,Methane,0.8045314825350163
morning1,Dunbar,SB,35,61,Total Gaseous Hydrocarbons,5.536013422160001
morning1,Dunbar,SB,35,52,Total Energy,1528297954.0
morning1,Dunbar,SB,35,52,Atmospheric CO2,111657.68619999995
morning1,Dunbar,SB,35,52,Nitrous Oxide,0.43078192600000004
morning1,Dunbar,SB,35,52,Methane,3.3590734078900018
morning1,Dunbar,SB,35,52,Total Gaseous Hydrocarbons,40.74974180000002
morning1,Dunbar,SB,35,42,Total Energy,0.0
morning1,Dunbar,SB,35,42,Atmospheric CO2,0.0
morning1,Dunbar,SB,35,42,Nitrous Oxide,0.0
morning1,Dunbar,SB,35,42,Methane,0.0
morning1,Dunbar,SB,35,42,Total Gaseous Hydrocarbons,0.0
morning1,Dunbar,SB,35,21,Total Energy,3541975035.052
morning1,Dunbar,SB,35,21,Atmospheric CO2,254600.81692540002
morning1,Dunbar,SB,35,21,Nitrous Oxide,1.1559556576677
morning1,Dunbar,SB,35,21,Methane,3.7574954301744
morning1,Dunbar,SB,35,21,Total Gaseous Hydrocarbons,35.59725363800001
morning1,Dunbar,SB,34,61,Total Energy,219525602.70065004
morning1,Dunbar,SB,34,61,Atmospheric CO2,16170.503587715004
morning1,Dunbar,SB,34,61,Nitrous Oxide,0.038655826790899996
morning1,Dunbar,SB,34,61,Methane,0.8487500987472559
morning1,Dunbar,SB,34,61,Total Gaseous Hydrocarbons,6.209600369664001
morning1,Dunbar,SB,34,52,Total Energy,974895245.0
