,period,inter,direc,cycle,type,pollutant,emi,sim,fuel
0,morning1,Dunbar,SB,36,21,Total Energy,2680451788.8320003,0,165.9424955980526
3,morning1,Dunbar,SB,35,21,Total Energy,3541975035.052,0,388.9615267001461
6,morning1,Dunbar,SB,34,21,Total Energy,2908394309.2079997,0,318.9333066989895
9,morning1,Dunbar,SB,33,21,Total Energy,2338074565.938,0,171.30298305288315
11,morning1,Dunbar,SB,32,21,Total Energy,2119779069.466,0,206.29394548898716
14,morning1,Dunbar,SB,31,21,Total Energy,3576660902.065,0,289.44652745414754
17,morning1,Dunbar,SB,30,21,Total Energy,3348560630.227,0,211.07906538924385
20,morning1,Dunbar,SB,29,21,Total Energy,2493789243.507,0,187.13873413734746
23,morning1,Dunbar,SB,28,21,Total Energy,3869838894.3,0,378.7172662086685
24,morning1,Dunbar,SB,27,21,Total Energy,1178912253.814,0,160.84696978731992
26,morning1,Dunbar,SB,26,21,Total Energy,2689453031.534,0,275.7941912949012
29,morning1,Dunbar,SB,25,21,Total Energy,2329205972.321,0,194.39624524169
31,morning1,Dunbar,SB,24,21,Total Energy,2367323833.642,0,131.39706089975442
34,morning1,Dunbar,SB,23,21,Total Energy,1481868766.195,0,142.6809522481144
38,morning1,Dunbar,SB,22,21,Total Energy,2713196370.9960003,0,411.6498718783216
40,morning1,Dunbar,SB,21,21,Total Energy,1884429002.7029998,0,144.43567335076932
43,morning1,Dunbar,SB,20,21,Total Energy,3339466749.117,0,370.396907585677
46,morning1,Dunbar,SB,19,21,Total Energy,2930502360.42,0,219.59137953231064
48,morning1,Dunbar,SB,18,21,Total Energy,1333691215.882,0,175.5939905712469
50,morning1,Dunbar,SB,17,21,Total Energy,3029095388.442,0,163.15225488335284
54,morning1,Dunbar,SB,16,21,Total Energy,4531592072.6,0,163.35673574263316
56,morning1,Dunbar,SB,15,21,Total Energy,2942155550.3770003,0,361.15386295111875
59,morning1,Dunbar,SB,14,21,Total Energy,4304956341.93,0,363.7569041606064
60,morning1,Dunbar,SB,13,21,Total Energy,4225654003.82,0,532.706712620188
61,morning1,Dunbar,SB,12,21,Total Energy,692799794.7360001,0,100.02197587879165
63,morning1,Dunbar,SB,11,21,Total Energy,1639616956.5870001,0,187.69368868676318
64,morning1,Dunbar,SB,10,21,Total Energy,2037523612.2670002,0,159.92584051183206
67,morning1,Dunbar,SB,9,21,Total Energy,3511471860.21,0,567.057906964919
69,morning1,Dunbar,SB,8,21,Total Energy,2802454306.577,0,198.0278122434975
71,morning1,Dunbar,SB,7,21,Total Energy,2949559422.5309997,0,304.40586065390966
74,morning1,Dunbar,SB,6,21,Total Energy,1963924740.647,0,286.7454053655863
75,morning1,Dunbar,SB,5,21,Total Energy,2422729508.369,0,232.37103062298453
78,morning1,Dunbar,SB,4,21,Total Energy,3089735781.5459995,0,419.0668871783341
79,morning1,Dunbar,SB,3,21,Total Energy,2785782357.976,0,330.08393682508705
82,morning1,Dunbar,SB,2,21,Total Energy,1695826559.5089998,0,167.40771561225753
84,morning1,Dunbar,SB,1,21,Total Energy,2472623371.197,0,182.90514240601738
86,morning1,Bishop,NB,47,21,Total Energy,6122147473.610001,0,309.89988360086966
87,morning1,Bishop,NB,46,21,Total Energy,10180627061.9,0,276.73538296984435
89,morning1,Bishop,NB,45,21,Total Energy,7701959143.15,0,456.78081648659753
91,morning1,Bishop,NB,44,21,Total Energy,6385730394.2,0,656.832751946068
93,morning1,Bishop,NB,43,21,Total Energy,5105580519.610001,0,453.54396391374786
95,morning1,Bishop,NB,42,21,Total Energy,5099501975.51,0,244.17464913310357
98,morning1,Bishop,NB,41,21,Total Energy,6907411979.97,0,434.1913988154707
100,morning1,Bishop,NB,40,21,Total Energy,6436750391.08,0,690.5116352015973
102,morning1,Bishop,NB,39,21,Total Energy,5681112160.42,0,527.677542831286
104,morning1,Bishop,NB,38,21,Total Energy,5109667387.84,0,167.91041970819353
107,morning1,Bishop,NB,37,21,Total Energy,4700516189.24,0,649.9225955482441
108,morning1,Bishop,NB,36,21,Total Energy,3895899405.96,0,235.65998119951232
111,morning1,Bishop,NB,35,21,Total Energy,5073255319.57,0,245.7172404793264
114,morning1,Bishop,NB,34,21,Total Energy,3420281509.492,0,237.7031736121601
115,morning1,Bishop,NB,33,21,Total Energy,4746114738.95,0,528.2142253817726
117,morning1,Bishop,NB,32,21,Total Energy,6440743975.95,0,579.7037456863359
120,morning1,Bishop,NB,31,21,Total Energy,5422846373.38,0,377.40543298707365
123,morning1,Bishop,NB,30,21,Total Energy,6494147734.16,0,205.0816672937172
126,morning1,Bishop,NB,29,21,Total Energy,7773114219.84,0,486.6659337700023
129,morning1,Bishop,NB,28,21,Total Energy,9593185184.94,0,575.9051946704443
131,morning1,Bishop,NB,27,21,Total Energy,8500586848.73,0,392.41791027493036
133,morning1,Bishop,NB,26,21,Total Energy,5181188129.78,0,632.1787355707933
135,morning1,Bishop,NB,25,21,Total Energy,5936657422.09,0,317.5509200237874
139,morning1,Bishop,NB,24,21,Total Energy,8095946883.62,0,450.3370655336335
142,morning1,Bishop,NB,23,21,Total Energy,6299544271.76,0,533.9247639971911
144,morning1,Bishop,NB,22,21,Total Energy,5589070870.0,0,679.8382694436807
146,morning1,Bishop,NB,21,21,Total Energy,4778826408.29,0,286.17817357693195
148,morning1,Bishop,NB,20,21,Total Energy,4547624984.22,0,276.51582041896387
149,morning1,Bishop,NB,19,21,Total Energy,7064306127.48,0,519.0284745134238
151,morning1,Bishop,NB,18,21,Total Energy,5648315119.52,0,587.3956312547876
154,morning1,Bishop,NB,17,21,Total Energy,3333725125.8809996,0,243.60967725541627
157,morning1,Bishop,NB,16,21,Total Energy,6592726968.46,0,304.91615177737526
159,morning1,Bishop,NB,15,21,Total Energy,8172350421.26,0,496.8216213917637
162,morning1,Bishop,NB,14,21,Total Energy,7407311507.97,0,405.0921741620736
163,morning1,Bishop,NB,13,21,Total Energy,6827626414.15,0,293.40191103760014
167,morning1,Bishop,NB,12,21,Total Energy,5448461094.559999,0,616.5456253410882
169,morning1,Bishop,NB,11,21,Total Energy,4127696859.51,0,444.52026438826385
172,morning1,Bishop,NB,10,21,Total Energy,5672888070.389999,0,588.2710016602356
174,morning1,Bishop,NB,9,21,Total Energy,3940171666.22,0,215.50082177832292
177,morning1,Bishop,NB,8,21,Total Energy,5411803229.41,0,377.2952854924429
180,morning1,Bishop,NB,7,21,Total Energy,6550407302.46,0,681.8597868770512
181,morning1,Bishop,NB,6,21,Total Energy,6942323718.54,0,372.5087014572451
183,morning1,Bishop,NB,5,21,Total Energy,8635161249.29,0,515.6902912817732
185,morning1,Bishop,NB,4,21,Total Energy,5855132959.01,0,361.76110894418775
188,morning1,Bishop,NB,3,21,Total Energy,5731104905.54,0,555.4753447148822
190,morning1,Bishop,NB,2,21,Total Energy,7037276675.860002,0,624.4555407986212
193,morning1,Bishop,NB,1,21,Total Energy,4299582824.34,0,281.9236585882568
196,morning1,Bishop,SB,47,21,Total Energy,2064422260.5979998,0,363.4890029839816
198,morning1,Bishop,SB,46,21,Total Energy,1288151590.402,0,100.09964498869594
200,morning1,Bishop,SB,45,21,Total Energy,2995202260.898,0,606.7944542636483
203,morning1,Bishop,SB,44,21,Total Energy,2815173160.6759996,0,416.30810686062205
204,morning1,Bishop,SB,43,21,Total Energy,2219147093.0290003,0,210.9091851702419
207,morning1,Bishop,SB,42,21,Total Energy,1503048181.1920002,0,152.42731382843414
211,morning1,Bishop,SB,41,21,Total Energy,2290003019.787,0,166.13208820352258
213,morning1,Bishop,SB,40,21,Total Energy,2299691413.358,0,274.766797798274
216,morning1,Bishop,SB,39,21,Total Energy,2566758332.174,0,267.8495574109629
219,morning1,Bishop,SB,38,21,Total Energy,4209307281.91,0,183.0005410263977
221,morning1,Bishop,SB,37,21,Total Energy,2537078884.736,0,315.1473851042392
223,morning1,Bishop,SB,36,21,Total Energy,2640654720.925,0,163.87958944931117
226,morning1,Bishop,SB,35,21,Total Energy,3687546111.648,0,748.4154752360007
228,morning1,Bishop,SB,34,21,Total Energy,1701723348.311,0,154.31968965456758
230,morning1,Bishop,SB,33,21,Total Energy,2506658152.987,0,111.99682322339596
233,morning1,Bishop,SB,32,21,Total Energy,3100362881.686,0,296.3024114266913
236,morning1,Bishop,SB,31,21,Total Energy,3444345655.688,0,231.25929295424882
239,morning1,Bishop,SB,30,21,Total Energy,2845163047.6790004,0,207.90419620278317
241,morning1,Bishop,SB,29,21,Total Energy,2707391438.57,0,226.69645155665933
245,morning1,Bishop,SB,28,21,Total Energy,3110704943.0550003,0,446.73451999968177
247,morning1,Bishop,SB,27,21,Total Energy,3211617423.516,0,124.29175111294464
250,morning1,Bishop,SB,26,21,Total Energy,3548643703.663,0,542.8451814218577
254,morning1,Bishop,SB,25,21,Total Energy,4009566424.37,0,111.52673638336859
257,morning1,Bishop,SB,24,21,Total Energy,3337565416.243,0,243.40011697952815
259,morning1,Bishop,SB,23,21,Total Energy,3067123201.185,0,281.2576838532738
261,morning1,Bishop,SB,22,21,Total Energy,1403144465.6,0,195.81756548915
264,morning1,Bishop,SB,21,21,Total Energy,4125455262.31,0,109.5823063353627
267,morning1,Bishop,SB,20,21,Total Energy,2936410475.27,0,424.2214385267485
270,morning1,Bishop,SB,19,21,Total Energy,3317738129.6270003,0,380.2019938725435
271,morning1,Bishop,SB,18,21,Total Energy,1391827318.342,0,101.64614048799444
274,morning1,Bishop,SB,17,21,Total Energy,3875219237.15,0,363.501557338312
277,morning1,Bishop,SB,16,21,Total Energy,7219306612.57,0,354.6238407034087
280,morning1,Bishop,SB,15,21,Total Energy,3366632708.9960003,0,547.6173645249943
282,morning1,Bishop,SB,14,21,Total Energy,2111629365.2289999,0,131.0646881081481
284,morning1,Bishop,SB,13,21,Total Energy,2875667823.979,0,321.3921581025642
287,morning1,Bishop,SB,12,21,Total Energy,4848638169.41,0,505.4400209808583
291,morning1,Bishop,SB,11,21,Total Energy,1554512834.806,0,48.02992081874332
