,link,hour,qlength,congestion,nvehicles
0,12001,7-8,7.800999999999931,0.09320388349514562,16
1,12002,7-8,7.650999999999954,0.15837563451776648,26
2,12003,7-8,0.0,0.20095693779904306,35
3,12004,7-8,7.890999999999963,0.21509433962264152,38
4,12005,7-8,117.57099999999997,0.12435233160621761,20
5,12006,7-8,7.440999999999974,0.12571428571428572,22
6,12007,7-8,18.79099999999994,0.15384615384615383,20
7,12008,7-8,18.79099999999994,0.13043478260869565,20
8,12009,7-8,1.4909999999999854,0.22826086956521735,35
9,12010,7-8,0.0,0.15085714285714286,22
10,12011,7-8,0.0,0.11538461538461538,15
11,12012,7-8,1.54099999999994,0.16089385474860335,24
12,12013,7-8,117.57099999999997,0.2641148325358852,46
13,12014,7-8,13.420999999999935,0.1777777777777778,28
14,12015,7-8,123.92099999999999,0.15502392344497606,27
15,12016,7-8,39.79099999999994,0.17313432835820894,29
16,12017,7-8,39.79099999999994,0.11707317073170734,20
17,12018,7-8,0.0,0.13186813186813187,20
18,12019,7-8,21.32099999999997,0.1233644859813084,22
19,12020,7-8,21.32099999999997,0.23101604278074866,36
20,12021,7-8,0.0,0.10566037735849058,14
21,12022,7-8,7.030999999999949,0.1531914893617021,24
22,12023,7-8,7.030999999999949,0.13529411764705881,23
23,12024,7-8,13.010999999999967,0.11067961165048543,19
24,12025,7-8,13.010999999999967,0.11933701657458563,18
25,12026,7-8,0.0,0.13076923076923078,17
26,12027,7-8,0.0,0.07630057803468207,11
27,12028,7-8,19.710999999999956,0.1651376146788991,30
28,12029,7-8,19.710999999999956,0.14727272727272728,27
29,12030,7-8,19.450999999999965,0.15924170616113745,28
30,12031,7-8,19.450999999999965,0.15355450236966825,27
31,12032,7-8,1.5709999999999695,0.14187192118226602,24
32,12033,7-8,1.710999999999956,0.10704225352112676,19
33,12034,7-8,20.260999999999967,0.15164835164835164,23
34,12035,7-8,20.260999999999967,0.1855072463768116,32
35,12036,7-8,7.3209999999999695,0.2,30
36,12037,7-8,0.0,0.11550802139037433,18
37,21001,7-8,39.243999999999915,0.43421052631578944,55
38,21002,7-8,132.07399999999996,0.4137931034482759,50
39,21003,7-8,39.073999999999955,0.30857142857142855,45
40,21004,7-8,111.98399999999992,0.2985074626865672,50
41,21005,7-8,49.813999999999965,0.46753246753246747,60
42,21006,7-8,50.313999999999965,0.5587786259541985,61
43,21007,7-8,111.98399999999992,0.44160000000000005,46
44,21008,7-8,423.03499999999997,0.32214765100671144,40
45,21009,7-8,27.44399999999996,0.425,51
46,21010,7-8,111.98399999999992,0.49999999999999994,55
47,21011,7-8,333.05499999999995,0.2482758620689655,30
48,21012,7-8,124.27399999999994,0.43636363636363634,44
49,21013,7-8,428.93499999999995,0.36599999999999994,61
50,21014,7-8,333.29499999999996,0.40958083832335324,57
51,21015,7-8,44.19399999999996,0.38453038674033146,58
52,21016,7-8,60.733999999999924,0.41666666666666674,50
53,21017,7-8,7.733999999999924,0.3230769230769231,35
54,21018,7-8,357.635,0.3489795918367347,57
55,21019,7-8,26.37399999999991,0.38796992481203013,43
56,21020,7-8,26.524,0.26976744186046503,29
57,21021,7-8,111.98399999999992,0.29508196721311475,30
58,21022,7-8,26.70399999999995,0.27540983606557373,42
59,21023,7-8,358.11499999999995,0.47027027027027024,58
60,21024,7-8,57.15399999999994,0.5090909090909091,56
61,21025,7-8,31.403999999999996,0.3121951219512195,32
62,21026,7-8,123.84399999999994,0.3393103448275862,41
63,21027,7-8,124.71399999999994,0.38125,61
64,21028,7-8,339.07499999999993,0.4508670520231214,65
65,21029,7-8,339.4649999999999,0.41012658227848103,54
66,21030,7-8,111.98399999999992,0.4,53
67,21031,7-8,111.98399999999992,0.40481927710843374,56
68,21032,7-8,7.593999999999937,0.3652173913043479,42
69,21033,7-8,7.6440000000000055,0.2723404255319149,32
70,21034,7-8,19.783999999999992,0.2735294117647059,31
71,21035,7-8,19.783999999999992,0.3486486486486487,43
72,21036,7-8,14.003999999999905,0.33157894736842103,42
73,21037,7-8,13.183999999999969,0.3414634146341463,35
74,21038,7-8,13.183999999999969,0.3804878048780488,39
75,21039,7-8,118.98399999999992,0.3379310344827586,49
76,21040,7-8,416.42499999999995,0.3291428571428572,48
77,21041,7-8,38.083999999999946,0.4109589041095891,50
78,21042,7-8,19.403999999999996,0.38709677419354843,40
79,21043,7-8,111.98399999999992,0.2414201183431953,34
80,21044,7-8,132.02399999999994,0.39740259740259737,51
81,21045,7-8,111.98399999999992,0.36279069767441857,52
82,21046,7-8,117.49399999999991,0.45298013245033114,57
83,21047,7-8,13.95399999999995,0.5901639344262295,60
84,21048,7-8,33.243999999999915,0.35,42
85,22001,7-8,1.865000000000009,0.09473684210526315,12
86,22002,7-8,13.095000000000027,0.11586206896551723,14
87,22003,7-8,25.605000000000018,0.15085714285714286,22
88,22004,7-8,312.482,0.23283582089552238,39
89,22005,7-8,312.132,0.3272727272727273,42
90,22006,7-8,317.982,0.2381679389312977,26
91,22007,7-8,1.7850000000000819,0.13440000000000002,14
92,22008,7-8,8.134999999999991,0.15302013422818792,19
93,22009,7-8,13.985000000000014,0.15833333333333335,19
94,22010,7-8,20.154999999999973,0.15454545454545454,17
95,22011,7-8,1.8250000000000455,0.26482758620689656,32
96,22012,7-8,415.692,0.4066115702479339,41
97,22013,7-8,312.032,0.15599999999999997,26
98,22014,7-8,18.975000000000023,0.12934131736526944,18
99,22015,7-8,39.434999999999945,0.1856353591160221,28
100,22016,7-8,421.202,0.36666666666666664,44
101,22017,7-8,344.762,0.2584615384615385,28
102,22018,7-8,1.634999999999991,0.18979591836734697,31
103,22019,7-8,1.6849999999999454,0.2706766917293233,30
104,22020,7-8,312.432,0.21395348837209302,23
105,22021,7-8,14.214999999999918,0.24590163934426232,25
106,22022,7-8,7.164999999999964,0.09836065573770492,15
107,22023,7-8,13.174999999999955,0.18648648648648652,23
108,22024,7-8,312.432,0.2181818181818182,24
109,22025,7-8,14.654999999999973,0.2829268292682927,29
110,22026,7-8,312.342,0.24,29
111,22027,7-8,312.302,0.24374999999999997,39
112,22028,7-8,312.16200000000003,0.24971098265895952,36
113,22029,7-8,318.35200000000003,0.17468354430379748,23
114,22030,7-8,7.795000000000073,0.1962264150943396,26
115,22031,7-8,312.512,0.1807228915662651,25
116,22032,7-8,21.795000000000073,0.2,23
117,22033,7-8,7.785000000000082,0.1446808510638298,17
118,22034,7-8,7.914999999999964,0.21176470588235294,24
119,22035,7-8,318.812,0.27567567567567575,34
120,22036,7-8,312.392,0.14210526315789473,18
121,22037,7-8,312.392,0.1951219512195122,20
122,22038,7-8,20.475000000000023,0.2926829268292683,30
123,22039,7-8,312.242,0.2,29
124,22040,7-8,1.5950000000000273,0.1645714285714286,24
125,22041,7-8,1.6949999999999363,0.18082191780821916,22
126,22042,7-8,312.122,0.15483870967741933,16
