,link,hour,qlength
0,12001,7-8,7.800999999999931
1,12002,7-8,7.650999999999954
2,12003,7-8,0.0
3,12004,7-8,7.890999999999963
4,12005,7-8,117.57099999999997
5,12006,7-8,7.440999999999974
6,12007,7-8,18.79099999999994
7,12008,7-8,18.79099999999994
8,12009,7-8,1.4909999999999854
9,12010,7-8,0.0
10,12011,7-8,0.0
11,12012,7-8,1.54099999999994
12,12013,7-8,117.57099999999997
13,12014,7-8,13.420999999999935
14,12015,7-8,123.92099999999999
15,12016,7-8,39.79099999999994
16,12017,7-8,39.79099999999994
17,12018,7-8,0.0
18,12019,7-8,21.32099999999997
19,12020,7-8,21.32099999999997
20,12021,7-8,0.0
21,12022,7-8,7.030999999999949
22,12023,7-8,7.030999999999949
23,12024,7-8,13.010999999999967
24,12025,7-8,13.010999999999967
25,12026,7-8,0.0
26,12027,7-8,0.0
27,12028,7-8,19.710999999999956
28,12029,7-8,19.710999999999956
29,12030,7-8,19.450999999999965
30,12031,7-8,19.450999999999965
31,12032,7-8,1.5709999999999695
32,12033,7-8,1.710999999999956
33,12034,7-8,20.260999999999967
34,12035,7-8,20.260999999999967
35,12036,7-8,7.3209999999999695
36,12037,7-8,0.0
37,21001,7-8,39.243999999999915
38,21002,7-8,132.07399999999996
39,21003,7-8,39.073999999999955
40,21004,7-8,111.98399999999992
41,21005,7-8,49.813999999999965
42,21006,7-8,50.313999999999965
43,21007,7-8,111.98399999999992
44,21008,7-8,423.03499999999997
45,21009,7-8,27.44399999999996
46,21010,7-8,111.98399999999992
47,21011,7-8,333.05499999999995
48,21012,7-8,124.27399999999994
49,21013,7-8,428.93499999999995
50,21014,7-8,333.29499999999996
51,21015,7-8,44.19399999999996
52,21016,7-8,60.733999999999924
53,21017,7-8,7.733999999999924
54,21018,7-8,357.635
55,21019,7-8,26.37399999999991
56,21020,7-8,26.524
57,21021,7-8,111.98399999999992
58,21022,7-8,26.70399999999995
59,21023,7-8,358.11499999999995
60,21024,7-8,57.15399999999994
61,21025,7-8,31.403999999999996
62,21026,7-8,123.84399999999994
63,21027,7-8,124.71399999999994
64,21028,7-8,339.07499999999993
65,21029,7-8,339.4649999999999
66,21030,7-8,111.98399999999992
67,21031,7-8,111.98399999999992
68,21032,7-8,7.593999999999937
69,21033,7-8,7.6440000000000055
70,21034,7-8,19.783999999999992
71,21035,7-8,19.783999999999992
72,21036,7-8,14.003999999999905
73,21037,7-8,13.183999999999969
74,21038,7-8,13.183999999999969
75,21039,7-8,118.98399999999992
76,21040,7-8,416.42499999999995
77,21041,7-8,38.083999999999946
78,21042,7-8,19.403999999999996
79,21043,7-8,111.98399999999992
80,21044,7-8,132.02399999999994
81,21045,7-8,111.98399999999992
82,21046,7-8,117.49399999999991
83,21047,7-8,13.95399999999995
84,21048,7-8,33.243999999999915
85,22001,7-8,1.865000000000009
86,22002,7-8,13.095000000000027
87,22003,7-8,25.605000000000018
88,22004,7-8,312.482
89,22005,7-8,312.132
90,22006,7-8,317.982
91,22007,7-8,1.7850000000000819
92,22008,7-8,8.134999999999991
93,22009,7-8,13.985000000000014
94,22010,7-8,20.154999999999973
95,22011,7-8,1.8250000000000455
96,22012,7-8,415.692
97,22013,7-8,312.032
98,22014,7-8,18.975000000000023
99,22015,7-8,39.434999999999945
100,22016,7-8,421.202
101,22017,7-8,344.762
102,22018,7-8,1.634999999999991
103,22019,7-8,1.6849999999999454
104,22020,7-8,312.432
105,22021,7-8,14.214999999999918
106,22022,7-8,7.164999999999964
107,22023,7-8,13.174999999999955
108,22024,7-8,312.432
109,22025,7-8,14.654999999999973
110,22026,7-8,312.342
111,22027,7-8,312.302
112,22028,7-8,312.16200000000003
113,22029,7-8,318.35200000000003
114,22030,7-8,7.795000000000073
115,22031,7-8,312.512
116,22032,7-8,21.795000000000073
117,22033,7-8,7.785000000000082
118,22034,7-8,7.914999999999964
119,22035,7-8,318.812
120,22036,7-8,312.392
121,22037,7-8,312.392
122,22038,7-8,20.475000000000023
123,22039,7-8,312.242
124,22040,7-8,1.5950000000000273
125,22041,7-8,1.6949999999999363
126,22042,7-8,312.122
127,22043,7-8,312.492
128,22044,7-8,0.0
129,22045,7-8,312.272
130,22046,7-8,7.464999999999918
131,22047,7-8,1.6649999999999636
132,22048,7-8,0.0
133,31001,7-8,118.519
134,31002,7-8,118.519
135,31003,7-8,25.319000000000074
136,31004,7-8,414.05400000000003
137,31005,7-8,1.3290000000000646
138,31006,7-8,13.379000000000019
139,31007,7-8,413.844
140,31008,7-8,419.764
141,31009,7-8,420.144
142,31010,7-8,441.414
143,31011,7-8,413.92400000000004
144,31012,7-8,118.519
145,31013,7-8,414.014
146,31014,7-8,7.448999999999955
147,31015,7-8,7.448999999999955
148,31016,7-8,419.754
149,31017,7-8,431.744
150,31018,7-8,20.12900000000002
151,31019,7-8,20.12900000000002
152,31020,7-8,432.11400000000003
153,31021,7-8,55.38900000000001
154,31022,7-8,125.519
155,31023,7-8,60.599000000000046
156,31024,7-8,413.86400000000003
157,31025,7-8,30.999000000000024
158,31026,7-8,413.874
159,31027,7-8,414.074
160,31028,7-8,414.034
161,31029,7-8,419.294
162,31030,7-8,30.528999999999996
163,31031,7-8,31.62900000000002
164,31032,7-8,37.35900000000004
165,31033,7-8,420.474
166,31034,7-8,419.014
167,31035,7-8,413.874
168,31036,7-8,426.384
169,31037,7-8,19.829000000000065
170,31038,7-8,425.954
171,31039,7-8,437.72400000000005
172,31040,7-8,1.5690000000000737
173,31041,7-8,0.0
174,32001,7-8,163.74599999999992
175,32002,7-8,13.896999999999935
176,32003,7-8,337.62699999999995
177,32004,7-8,337.68699999999995
178,32005,7-8,337.68699999999995
179,32006,7-8,69.34699999999998
180,32007,7-8,146.47599999999989
181,32008,7-8,368.2369999999999
182,32009,7-8,25.156999999999925
183,32010,7-8,6.626999999999953
184,32011,7-8,95.21699999999998
185,32012,7-8,337.6569999999999
186,32013,7-8,32.06700000000001
187,32014,7-8,369.14699999999993
188,32015,7-8,146.89599999999996
189,32016,7-8,83.60699999999997
